Deliver- 2025-01-26 21:44:52 [background-preinit] INFO  [TraceId:] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
Deliver- 2025-01-26 21:44:57 [main] INFO  [TraceId:] c.o.d.s.DeliverServerApplication - Started DeliverServerApplication in 5.887 seconds (process running for 10.397)
Deliver- 2025-01-26 21:45:09 [SpringApplicationShutdownHook] INFO  [TraceId:] io.undertow - stopping server: Undertow - 2.3.8.Final
Deliver- 2025-01-26 21:45:09 [SpringApplicationShutdownHook] INFO  [TraceId:] c.o.d.server.config.AsyncConfig - 关闭 SpringBoot 线程池
Deliver- 2025-01-26 21:45:09 [SpringApplicationShutdownHook] INFO  [TraceId:] c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
Deliver- 2025-01-26 21:45:12 [background-preinit] INFO  [TraceId:] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
Deliver- 2025-01-26 21:45:12 [main] INFO  [TraceId:] c.o.d.s.DeliverServerApplication - Starting DeliverServerApplication using Java 17.0.9 with PID 912 (F:\gitFile\deliver\deliver-backend-server\target\classes started by 97610 in F:\gitFile\deliver)
Deliver- 2025-01-26 21:45:12 [main] INFO  [TraceId:] c.o.d.s.DeliverServerApplication - The following 1 profile is active: "dev"
Deliver- 2025-01-26 21:45:13 [main] INFO  [TraceId:] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
Deliver- 2025-01-26 21:45:13 [main] INFO  [TraceId:] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
Deliver- 2025-01-26 21:45:13 [main] INFO  [TraceId:] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
Deliver- 2025-01-26 21:45:13 [main] INFO  [TraceId:] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.rocketmq.spring.autoconfigure.MessageConverterConfiguration' of type [org.apache.rocketmq.spring.autoconfigure.MessageConverterConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
Deliver- 2025-01-26 21:45:13 [main] INFO  [TraceId:] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'createRocketMQMessageConverter' of type [org.apache.rocketmq.spring.support.RocketMQMessageConverter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
Deliver- 2025-01-26 21:45:13 [main] INFO  [TraceId:] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rocketmq-org.apache.rocketmq.spring.autoconfigure.RocketMQProperties' of type [org.apache.rocketmq.spring.autoconfigure.RocketMQProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
Deliver- 2025-01-26 21:45:13 [main] INFO  [TraceId:] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.rocketmq.spring.autoconfigure.ListenerContainerConfiguration' of type [org.apache.rocketmq.spring.autoconfigure.ListenerContainerConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
Deliver- 2025-01-26 21:45:14 [main] INFO  [TraceId:] io.undertow.servlet - Initializing Spring embedded WebApplicationContext
Deliver- 2025-01-26 21:45:14 [main] INFO  [TraceId:] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1359 ms
Deliver- 2025-01-26 21:45:16 [main] INFO  [TraceId:] io.undertow - starting server: Undertow - 2.3.8.Final
Deliver- 2025-01-26 21:45:16 [main] INFO  [TraceId:] org.xnio - XNIO version 3.8.8.Final
Deliver- 2025-01-26 21:45:16 [main] INFO  [TraceId:] org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
Deliver- 2025-01-26 21:45:16 [main] INFO  [TraceId:] org.jboss.threads - JBoss Threads version 3.5.0.Final
Deliver- 2025-01-26 21:45:16 [main] INFO  [TraceId:] o.s.b.w.e.undertow.UndertowWebServer - Undertow started on port(s) 7070 (http)
Deliver- 2025-01-26 21:45:16 [main] INFO  [TraceId:] c.o.d.s.DeliverServerApplication - Started DeliverServerApplication in 4.082 seconds (process running for 5.259)
Deliver- 2025-01-26 21:47:09 [XNIO-1 task-2] INFO  [TraceId:] io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
Deliver- 2025-01-26 21:47:09 [XNIO-1 task-2] INFO  [TraceId:] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
Deliver- 2025-01-26 21:47:09 [XNIO-1 task-2] INFO  [TraceId:] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
Deliver- 2025-01-26 21:47:09 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] c.o.d.server.aop.OpenControllerAop - IP地址为: 127.0.0.1，请求进入 [com.oszero.deliver.server.web.controller.OpenController#sendMessage] 请求参数为: [{"templateId":1,"users":["976107020@qq.com"],"paramMap":{"title":"测试邮件","content":"你好,你好","toCC":[],"toBCC":[],"htmlFlag":true},"retry":2}]
Deliver- 2025-01-26 21:47:39 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: null, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 服务端接收到接入方推送消息
Deliver- 2025-01-26 21:47:52 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
Deliver- 2025-01-26 21:49:09 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: null, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 完成消息模板检测
Deliver- 2025-01-26 21:51:12 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 完成消息模板关联应用检测
Deliver- 2025-01-26 21:55:14 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 完成责任链配置检查
Deliver- 2025-01-26 21:57:17 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 完成推送范围检查
Deliver- 2025-01-26 21:57:17 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 完成邮箱检查
Deliver- 2025-01-26 21:57:17 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 完成邮件消息参数校验
Deliver- 2025-01-26 21:57:17 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 开始准备发送消息到消息队列
Deliver- 2025-01-26 21:57:17 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 完成消息事件发布到 Spring，消息事件已确认发布到 Spring
Deliver- 2025-01-26 21:57:39 [mailAsyncExecutor-1] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 接收到消息队列消息，消息已送达消费者
Deliver- 2025-01-26 21:57:41 [mailAsyncExecutor-1] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 消息已达到处理器开始处理
Deliver- 2025-01-26 21:57:52 [XNIO-1 task-2] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] c.o.d.server.aop.OpenControllerAop - IP地址为: 127.0.0.1，请求返回 [com.oszero.deliver.server.web.controller.OpenController#sendMessage] 响应参数为: {"code":200,"data":"1ad99573-87de-4679-a7d7-73eeea1c654f"}
Deliver- 2025-01-26 21:57:57 [mailAsyncExecutor-1] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 邮件消息发送成功
Deliver- 2025-01-26 21:57:57 [mailAsyncExecutor-1] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 消息处理成功，开始记录消息成功记录
Deliver- 2025-01-26 21:57:57 [mailAsyncExecutor-1] INFO  [TraceId:1ad99573-87de-4679-a7d7-73eeea1c654f] MessageLinkTraceLogger - 消息状态: 正常, 消息链路 ID: 1ad99573-87de-4679-a7d7-73eeea1c654f, 模板 ID: 1, 应用 ID: 1, 接收人列表: [976107020@qq.com], 是否重试消息: false, 重试次数剩余: 2, 请求 IP: 127.0.0.1, 处理信息: 成功完成消息记录，所有发送人已成功接收，本次消息流程已全部顺利完成
Deliver- 2025-01-26 22:02:20 [SpringApplicationShutdownHook] INFO  [TraceId:] io.undertow - stopping server: Undertow - 2.3.8.Final
Deliver- 2025-01-26 22:02:20 [SpringApplicationShutdownHook] INFO  [TraceId:] io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
Deliver- 2025-01-26 22:02:20 [SpringApplicationShutdownHook] INFO  [TraceId:] c.o.d.server.config.AsyncConfig - 关闭 SpringBoot 线程池
Deliver- 2025-01-26 22:02:20 [SpringApplicationShutdownHook] INFO  [TraceId:] c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
Deliver- 2025-01-26 22:02:20 [SpringApplicationShutdownHook] INFO  [TraceId:] c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
